HDR,ROLLING SYSTEM DEMAND
VD,20211010005500,21304
VD,20211010010000,21242
VD,20211010010500,21424
VD,20211010011000,21441
VD,20211010011500,21471
VD,20211010012000,21498
VD,20211010012500,21471
VD,20211010013000,21468
VD,20211010013500,21518
VD,20211010014000,21417
VD,20211010014500,21363
VD,20211010015000,21321
VD,20211010015500,21214
VD,20211010020000,21135
VD,20211010020500,21133
VD,20211010021000,21064
VD,20211010021500,21107
VD,20211010022000,21188
VD,20211010022500,21121
VD,20211010023000,21052
VD,20211010023500,21037
VD,20211010024000,21046
VD,20211010024500,20998
VD,20211010025000,20798
VD,20211010025500,20699
VD,20211010030000,20668
VD,20211010030500,20648
VD,20211010031000,20533
VD,20211010031500,20527
VD,20211010032000,20664
VD,20211010032500,20707
VD,20211010033000,20682
VD,20211010033500,20620
VD,20211010034000,20644
VD,20211010034500,20683
VD,20211010035000,20603
VD,20211010035500,20519
VD,20211010040000,20534
VD,20211010040500,20672
VD,20211010041000,20766
VD,20211010041500,20932
VD,20211010042000,20962
VD,20211010042500,20897
VD,20211010043000,20923
VD,20211010043500,20978
VD,20211010044000,21067
VD,20211010044500,20989
VD,20211010045000,20797
VD,20211010045500,20807
VD,20211010050000,20961
VD,20211010050500,21160
VD,20211010051000,21423
VD,20211010051500,21557
VD,20211010052000,21612
VD,20211010052500,21560
VD,20211010053000,21649
VD,20211010053500,21735
VD,20211010054000,21879
VD,20211010054500,21945
VD,20211010055000,22070
VD,20211010055500,22049
VD,20211010060000,22199
VD,20211010060500,22398
VD,20211010061000,22318
VD,20211010061500,22376
VD,20211010062000,22448
VD,20211010062500,22585
VD,20211010063000,22736
VD,20211010063500,22887
VD,20211010064000,23050
VD,20211010064500,23249
VD,20211010065000,23467
VD,20211010065500,23642
VD,20211010070000,23852
VD,20211010070500,24068
VD,20211010071000,24449
VD,20211010071500,24806
VD,20211010072000,25008
VD,20211010072500,25185
VD,20211010073000,25297
VD,20211010073500,25436
VD,20211010074000,25647
VD,20211010074500,25771
VD,20211010075000,25761
VD,20211010075500,25873
VD,20211010080000,26005
VD,20211010080500,26256
VD,20211010081000,26388
VD,20211010081500,26426
VD,20211010082000,26497
VD,20211010082500,26535
VD,20211010083000,26583
VD,20211010083500,26678
VD,20211010084000,26599
VD,20211010084500,26614
VD,20211010085000,26656
VD,20211010085500,26775
VD,20211010090000,26917
VD,20211010090500,27129
VD,20211010091000,27284
VD,20211010091500,27214
VD,20211010092000,27182
VD,20211010092500,27117
VD,20211010093000,27068
VD,20211010093500,27044
VD,20211010094000,26998
VD,20211010094500,26936
VD,20211010095000,26927
VD,20211010095500,26814
VD,20211010100000,26739
VD,20211010100500,26732
VD,20211010101000,26780
VD,20211010101500,26793
VD,20211010102000,26721
VD,20211010102500,26810
VD,20211010103000,26827
VD,20211010103500,26849
VD,20211010104000,26850
VD,20211010104500,26935
VD,20211010105000,26888
VD,20211010105500,26741
VD,20211010110000,26729
VD,20211010110500,26769
VD,20211010111000,26769
VD,20211010111500,26499
VD,20211010112000,26665
VD,20211010112500,26599
VD,20211010113000,26593
VD,20211010113500,26577
VD,20211010114000,26602
VD,20211010114500,26680
VD,20211010115000,26556
VD,20211010115500,26429
VD,20211010120000,26373
VD,20211010120500,26276
VD,20211010121000,26025
VD,20211010121500,26060
VD,20211010122000,26055
VD,20211010122500,26072
VD,20211010123000,25959
VD,20211010123500,25870
VD,20211010124000,25889
VD,20211010124500,25864
VD,20211010125000,25799
VD,20211010125500,25709
VD,20211010130000,25629
VD,20211010130500,25638
VD,20211010131000,25623
VD,20211010131500,25487
VD,20211010132000,25442
VD,20211010132500,25398
VD,20211010133000,25329
VD,20211010133500,25333
VD,20211010134000,25388
VD,20211010134500,25393
VD,20211010135000,25435
VD,20211010135500,25513
VD,20211010140000,25616
VD,20211010140500,25777
VD,20211010141000,25836
VD,20211010141500,25796
VD,20211010142000,25772
VD,20211010142500,25787
VD,20211010143000,26027
VD,20211010143500,26211
VD,20211010144000,26180
VD,20211010144500,26338
VD,20211010145000,26559
VD,20211010145500,26872
VD,20211010150000,27202
VD,20211010150500,27334
VD,20211010151000,27667
VD,20211010151500,27980
VD,20211010152000,28130
VD,20211010152500,28279
VD,20211010153000,28554
VD,20211010153500,28930
VD,20211010154000,29243
VD,20211010154500,29532
VD,20211010155000,29777
VD,20211010155500,30118
VD,20211010160000,30366
VD,20211010160500,30617
VD,20211010161000,31052
VD,20211010161500,31291
VD,20211010162000,31482
VD,20211010162500,31742
VD,20211010163000,31880
VD,20211010163500,32095
VD,20211010164000,32141
VD,20211010164500,32166
VD,20211010165000,32170
VD,20211010165500,32269
VD,20211010170000,32367
VD,20211010170500,32351
VD,20211010171000,32496
VD,20211010171500,32527
VD,20211010172000,32668
VD,20211010172500,32734
VD,20211010173000,32772
VD,20211010173500,32918
VD,20211010174000,33050
VD,20211010174500,33236
VD,20211010175000,33237
VD,20211010175500,33219
VD,20211010180000,33231
VD,20211010180500,33282
VD,20211010181000,33157
VD,20211010181500,33020
VD,20211010182000,33017
VD,20211010182500,32864
VD,20211010183000,32739
VD,20211010183500,32630
VD,20211010184000,32457
VD,20211010184500,32240
VD,20211010185000,32119
VD,20211010185500,31871
VD,20211010190000,31752
VD,20211010190500,31737
VD,20211010191000,31580
VD,20211010191500,31251
VD,20211010192000,30943
VD,20211010192500,30691
VD,20211010193000,30577
VD,20211010193500,30554
VD,20211010194000,30562
VD,20211010194500,30529
VD,20211010195000,30428
VD,20211010195500,30332
VD,20211010200000,30158
VD,20211010200500,30112
VD,20211010201000,29705
VD,20211010201500,29395
VD,20211010202000,29203
VD,20211010202500,28971
VD,20211010203000,28736
VD,20211010203500,28444
VD,20211010204000,28098
VD,20211010204500,27824
VD,20211010205000,27666
VD,20211010205500,27488
VD,20211010210000,27098
VD,20211010210500,26927
VD,20211010211000,26633
VD,20211010211500,26316
VD,20211010212000,26038
VD,20211010212500,25877
VD,20211010213000,25675
VD,20211010213500,25407
VD,20211010214000,25119
VD,20211010214500,24964
VD,20211010215000,24767
VD,20211010215500,24494
VD,20211010220000,24369
VD,20211010220500,24168
VD,20211010221000,23741
VD,20211010221500,23531
VD,20211010222000,23329
VD,20211010222500,23045
VD,20211010223000,22804
VD,20211010223500,22806
VD,20211010224000,22796
VD,20211010224500,22638
VD,20211010225000,22404
VD,20211010225500,22244
VD,20211010230000,22229
VD,20211010230500,22172
VD,20211010231000,22065
VD,20211010231500,21940
VD,20211010232000,21727
VD,20211010232500,21277
VD,20211010233000,21247
VD,20211010233500,21482
VD,20211010234000,21505
VD,20211010234500,21439
VD,20211010235000,21361
VD,20211010235500,21317
FTR,1440
